2020-09-06,ST
2020-09-09,HV
2020-09-13,ST
2020-09-16,HV
2020-09-20,ST
2020-09-23,HV
2020-09-27,ST
2020-10-01,ST
2020-10-04,ST
2020-10-07,HV
2020-10-11,ST
2020-10-14,HV
2020-10-18,ST
2020-10-21,HV
2020-10-24,ST
2020-10-28,HV
2020-11-01,ST
2020-11-04,ST
2020-11-08,HV
2020-11-11,HV
2020-11-14,ST
2020-11-18,HV
2020-11-22,ST
2020-11-25,HV
2020-11-29,ST
2020-12-02,HV
2020-12-06,ST
2020-12-09,HV
2020-12-13,ST
2020-12-16,HV
2020-12-20,ST
2020-12-23,HV
2020-12-26,ST
2021-01-01,ST
2021-01-06,HV
2021-01-10,ST
2021-01-13,HV
2021-01-17,ST
2021-01-20,HV
2021-01-24,ST
2021-01-27,HV
2021-01-31,ST
2021-02-03,HV
2021-02-06,ST
2021-02-10,HV
2021-02-14,ST
2021-02-17,HV
2021-02-21,ST
2021-02-24,HV
2021-02-28,ST
2021-03-03,HV
2021-03-07,ST
2021-03-10,HV
2021-03-13,ST
2021-03-17,HV
2021-03-21,ST
2021-03-24,HV
2021-03-28,ST
2021-03-31,ST
2021-04-05,ST
2021-04-08,HV
2021-04-11,ST
2021-04-14,HV
2021-04-17,ST
2021-04-21,HV
2021-04-25,ST
2021-04-28,HV
2021-05-02,ST
2021-05-05,HV
2021-05-08,ST
2021-05-12,ST
2021-05-16,ST
2021-05-19,HV
2021-05-23,ST
2021-05-26,HV
2021-05-30,ST
2021-06-02,HV
2021-06-06,ST
2021-06-09,HV
2021-06-13,ST
2021-06-20,ST
2021-06-23,HV
2021-06-26,ST
2021-07-01,ST
2021-07-04,ST
2021-07-07,HV
2021-07-11,ST
2021-07-14,HV
